julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean
103,0.78125,7.24,89,0.827,13.86,11.6066666666667,8.8,28.904536,-25.6335565221362
103,0.791666666666667,6.92,66,0.824,13.52,11.1583333333333,8.8,28.9064755,-25.6167624006208
103,0.802083333333333,6.36,38,0.819,13.13,10.5916666666667,8.8,28.90356625,-25.6198267000228
103,0.8125,5.41,17.7,0.814,12.77,10.03,8.8,28.904536,-25.6115588012896
103,0.822916666666667,5.69,4.3,0.807,12.45,9.77166666666667,8.8,28.904536,-25.612028390201
103,0.833333333333333,5.9,0.1,0.799,12.21,9.60166666666667,8.8,28.908415,-25.5997669579695
103,0.84375,5.78,0,0.793,11.93,9.03666666666667,8.8,28.90550575,-25.6058962624357
103,0.854166666666667,3.69,0,0.789,11.64,8.495,8.8,28.9064755,-25.612265221536
103,0.864583333333333,3.28,0,0.795,11.25,8.1,8.8,28.904536,-25.6028312573715
103,0.875,5.31,0,0.786,11.1,8.275,8.8,28.908415,-25.5976447157021
103,0.885416666666667,6.72,0,0.785,11.09,8.715,8.8,28.904536,-25.593873072376
103,0.895833333333333,7.24,0,0.785,10.98,8.40166666666667,8.8,28.904536,-25.5997669579695
103,0.90625,6.86,0,0.782,10.8,8.17,8.8,28.90938475,-25.5969366662782
103,0.916666666666667,5.18,0,0.78,10.71,7.99,8.8,28.90550575,-25.5964714189674
103,0.927083333333333,6.12,0,0.78,10.62,8.16666666666667,8.8,28.90356625,-25.5882144437146
103,0.9375,4.73,0,0.781,10.55,8.07333333333333,8.8,28.904536,-25.5908101838112
103,0.947916666666667,4.81,0,0.783,10.44,8.10833333333333,8.8,28.90938475,-25.5794955317833
103,0.958333333333333,4.59,0,0.771,10.63,8.18,8.8,28.90550575,-25.5794955317833
103,0.96875,4.76,0,0.763,10.6,8.14166666666667,8.8,28.90938475,-25.5766684967108
103,0.979166666666667,5.1,0,0.756,10.54,8.07166666666667,8.8,28.90938475,-25.5766684967108
103,0.989583333333333,4.5,0,0.743,10.6,7.985,8.8,28.90550575,-25.5681912961375
103,0,6.28,0,0.475,6.18,2.08333333333333,9,28.88998975,-25.9439448113103
104,0.0104166666666667,2.88,0,0.769,9.77,7.155,8.8,28.90550575,-25.5597199493848
104,0.0208333333333333,4.09,0,0.758,9.79,7.40333333333333,8.8,28.90938475,-25.5794955317833
104,0.03125,2.86,0,0.769,9.55,7.09333333333333,8.8,28.89968725,-25.5653668636618
104,0.0416666666666667,2.94,0,0.773,9.29,7.14833333333333,8.8,28.90356625,-25.5625430814608
104,0.0520833333333333,2.97,0,0.777,9.1,7.07666666666667,8.8,28.90744525,-25.5766684967108
104,0.0625,2.83,0,0.782,9.04,6.93,8.8,28.90744525,-25.5568974672842
104,0.0729166666666667,2.66,0,0.786,8.81,6.87,8.8,28.9064755,-25.5681912961375
104,0.0833333333333333,2.5,0,0.785,8.77,6.67333333333333,8.8,28.90550575,-25.5625430814608
104,0.09375,1.66,0,0.787,8.43,6.35833333333333,8.8,28.9064755,-25.5592432018946
104,0.104166666666667,1.98,0,0.782,8.2,6.25,8.8,28.90550575,-25.5597199493848
104,0.114583333333333,2.06,0,0.776,8.19,6.19666666666667,8.8,28.90356625,-25.5597199493848
104,0.125,1.07,0,0.782,7.68,5.50333333333333,8.8,28.9064755,-25.5470043352658
104,0.135416666666667,1.11,0,0.767,7.59,4.95833333333333,8.8,28.9064755,-25.5463078288273
104,0.145833333333333,1.25,0,0.762,7.39,4.53166666666667,8.8,28.90356625,-25.5166842831336
104,0.15625,0.95,0,0.762,7.2,4.55833333333333,8.8,28.90744525,-25.5077586031855
104,0.166666666666667,0.75,0,0.755,7.35,5.25,8.8,28.90744525,-25.5162299499382
