julian_day,time,wind_speed,solar_radiation,relative_humidity,air_temp,canopy_temp_mean,soil_temp,water_content_mean,water_potential_mean,temperature_difference,cwsi,t_actual,t_potential
161,0.15625,4.51,0.0,0.679,9.03,7.89,17.3,23.326534,-29.0047888366693,1.1399999999999997,0.0001,4.327964358566773,-0.17669855806755133
161,0.166666666666667,4.03,0.0,0.667,9.17,7.855,17.3,23.33526175,-29.0353608469333,1.3149999999999995,0.0001,4.787922136417182,-0.17731570220906384
161,0.177083333333333,4.19,0.0,0.657,9.37,8.10166666666667,17.3,23.33526175,-29.0464971541208,1.268333333333329,0.0001,4.692029180968585,-0.17789916981192522
161,0.1875,4.07,0.0,0.657,9.44,7.975,17.3,23.3323525,-29.0531861273228,1.4649999999999999,0.0001,5.44549591618573,-0.1779274465528177
161,0.197916666666667,4.68,0.0,0.658,9.31,8.035,17.3,23.33138275,-29.0587594115903,1.2750000000000004,0.0001,5.029165846613225,-0.17783911944235958
161,0.208333333333333,4.54,0.6,0.671,9.03,7.46833333333333,17.3,23.326534,-29.0933625874445,1.5616666666666692,0.0001,6.230892597776025,-0.17942208590810102
161,0.21875,3.96,4.0,0.686,8.43,7.06333333333333,17.27,23.33138275,-29.1034382037286,1.3666666666666698,0.0001,4.985966492174969,-0.1915934106871837
161,0.229166666666667,4.44,10.5,0.695,8.41,6.97666666666667,17.2,23.330413,-29.1151534779546,1.43333333333333,0.0001,5.644527841628539,-0.216363024956874
161,0.239583333333333,4.0,17.3,0.696,8.55,7.275,17.2,23.3284735,-29.1073423959913,1.2750000000000004,0.0001,4.691535284283247,-0.242801347718641
161,0.25,3.9,28.7,0.703,8.53,7.27666666666667,17.2,23.32944325,-29.1073423959913,1.2533333333333294,0.0001,4.589995896486832,-0.28662466977341505
161,0.260416666666667,3.94,62.8,0.711,8.87,7.87833333333333,17.2,23.32750375,-29.1073423959913,0.9916666666666689,0.0001,3.683856436510157,-0.4193318801795614
161,0.270833333333333,4.21,135.4,0.726,9.38,8.67666666666667,17.2,23.33138275,-29.1062360973388,0.7033333333333314,0.09233238576159278,2.9189635419194815,3.288001444993265
161,0.28125,4.17,190.3,0.733,10.18,9.44666666666667,17.2,23.3284735,-29.1118338176464,0.733333333333329,0.21696895088993168,3.2810682244104887,4.448559685640655
161,0.291666666666667,4.44,228.1,0.74,10.55,9.83166666666667,17.2,23.3323525,-29.1578031820405,0.7183333333333302,0.2749849487909641,3.4866826249457747,5.2208080622213915
161,0.302083333333333,3.94,280.6,0.743,11.0,10.505,17.2,23.33332225,-29.1578031820405,0.4949999999999992,0.4783905991385418,2.6159314967169123,6.208943756917763
161,0.3125,4.2,312.0,0.746,11.33,10.7883333333333,17.2,23.33138275,-29.1848392524735,0.5416666666666998,0.4609577324241129,3.0242129320310327,6.833743004898875
161,0.322916666666667,4.15,343.1,0.747,11.57,11.1216666666667,17.2,23.322655,-29.205653011485,0.4483333333333004,0.5189655443641469,2.7540661165895988,7.4075367558828145
161,0.333333333333333,4.04,380.1,0.74,11.79,11.41,17.2,23.326534,-29.2495133507489,0.379999999999999,0.5577417707180574,2.6091508073778233,8.061536951636038
161,0.34375,4.12,416.9,0.738,12.09,11.9033333333333,17.2,23.31974575,-29.2682400785813,0.1866666666666994,0.6379991539798988,1.9691795100388128,8.732782731469968
161,0.354166666666667,4.69,454.9,0.736,12.47,12.27,17.2,23.3129575,-29.3100866075233,0.20000000000000107,0.6287031406056884,2.2509315416509237,9.495155157110721
161,0.364583333333333,4.93,492.3,0.733,12.79,12.7283333333333,17.2,23.31198775,-29.3474023925396,0.0616666666666994,0.6782287845271429,1.8289719453010704,10.212140652159675
161,0.375,4.48,528.7,0.752,12.99,13.22,17.2,23.31004825,-29.3844512406576,-0.23000000000000043,0.7717415708514818,0.8156627937269679,10.847025096463186
161,0.385416666666667,4.2,563.0,0.758,13.55,13.8666666666667,17.2,23.2974415,-29.3979863968818,-0.3166666666666984,0.7874114129991121,0.7392339026886503,11.490319476848818
161,0.395833333333333,4.26,598.5,0.741,13.76,14.2316666666667,17.2,23.29647175,-29.456273721648,-0.47166666666669954,0.8249444978309235,0.3354041256334622,12.16592844684875
161,0.40625,3.55,634.0,0.772,14.18,15.1916666666667,17.2,23.291623,-29.4964906983178,-1.0116666666667005,0.9429446606983952,0.001,12.660255617674707
161,0.416666666666667,3.91,667.5,0.767,14.64,15.74,17.14,23.27513725,-29.532549405977,-1.0999999999999996,0.9644909332830884,0.001,13.406173105956602
161,0.427083333333333,4.41,696.8,0.766,14.73,16.2533333333333,17.1,23.2702885,-29.5884049837579,-1.523333333333298,1,0.001,14.06585975630876
161,0.4375,4.28,723.6,0.766,15.12,17.17,17.1,23.2586515,-29.632869593688,-2.0500000000000025,1,0.001,14.544930890145878
161,0.447916666666667,4.05,748.5,0.75,15.37,17.7783333333333,17.1,23.25962125,-29.6415742666437,-2.4083333333333012,1,0.001,14.929390394326687
161,0.458333333333333,3.91,778.1,0.754,15.67,18.7716666666667,17.1,23.2431355,-29.7144476915429,-3.1016666666667003,1,0.001,15.419330207301632
161,0.46875,3.87,795.9,0.762,16.16,19.2183333333333,17.1,23.2470145,-29.7426463523057,-3.0583333333333016,1,0.001,15.768874762958895
161,0.479166666666667,3.46,815.2,0.747,16.15,19.9516666666667,17.1,23.23440775,-29.7699850402004,-3.8016666666667014,1,0.001,15.911446575516486
161,0.489583333333333,3.44,838.1,0.738,16.41,20.665,17.1,23.22568,-29.8198827248666,-4.254999999999999,1,0.001,16.306023026883274
161,0.5,3.5,847.5,0.744,16.63,21.1183333333333,17.1,23.22277075,-29.8611218477037,-4.488333333333301,1,0.001,16.516601414571277
161,0.510416666666667,3.52,858.5,0.731,16.88,21.78,17.1,23.20919425,-29.8965756304968,-4.900000000000002,1,0.001,16.735679536785625
161,0.520833333333333,3.77,834.7,0.743,17.25,21.98,17.1,23.2043455,-29.9281185265408,-4.73,1,0.001,16.51875691384461
161,0.53125,4.05,886.9,0.741,17.44,22.77,17.1,23.19561775,-29.9756303199351,-5.329999999999998,1,0.001,17.512468766319287
